"redis_instances","type","throughput","avg_latency","p99_latency","min_latency","max_latency"
1,redis-baseline,1062134.88,1.28,1.85,0.6,2.81
1,redis-baseline,1063829.75,1.28,1.85,0.584,5.79
1,redis-baseline,1065530.12,1.28,1.84,0.656,2.69
1,redis-baseline,1063264.25,1.28,1.85,0.64,2.81
1,redis-baseline,1070091.0,1.27,1.84,0.592,2.74
1,redis-passthrough,1063264.25,1.29,1.85,0.568,2.72
1,redis-passthrough,1075268.75,1.27,1.82,0.632,2.73
1,redis-passthrough,1062699.25,1.29,1.85,0.552,5.78
1,redis-passthrough,1070663.75,1.28,1.83,0.616,2.75
1,redis-passthrough,1065530.12,1.28,1.85,0.616,2.72
1,redis-elevated,1029866.12,1.33,1.98,0.504,4.29
1,redis-elevated,1033057.88,1.32,1.95,0.504,4.46
1,redis-elevated,1033057.88,1.33,2.01,0.48,4.5
1,redis-elevated,1027221.38,1.33,1.98,0.48,4.47
1,redis-elevated,1026694.06,1.33,2.14,0.488,5.77
1,redis-dsc,1133786.75,1.16,1.82,0.408,4.97
1,redis-dsc,1134430.0,1.17,1.9,0.512,5.12
1,redis-dsc,1134430.0,1.17,1.78,0.488,5.1
1,redis-dsc,1133786.75,1.17,1.78,0.488,4.97
1,redis-dsc,1133786.75,1.17,1.85,0.488,5.05
1,redis-dsc,1126760.62,1.18,1.81,0.496,5.03
1,redis-dsc,1132502.75,1.17,1.79,0.472,4.87
1,redis-dsc,1112347.12,1.2,1.87,0.48,4.93
1,redis-dsc,1133144.5,1.17,1.99,0.496,5.11
1,redis-dsc,1131862.0,1.17,1.83,0.52,4.92
